"MF08_Individual Supply + Individual Exhaust (WSHP)  /  Proposed  /  EX03_MF08_Central-WSHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:38:36 pm"
"x-ldPass","Hour"
"Month","Day","Hr","CW Loop-HtgLd (Btu)","ClgLd (Btu)","NetLd (Btu)","DemFlw (gpm)","ActualFlw (gpm)","NetLd (W)","FlowFrac"
1,12,15,0,0,0,0,14.1,0,0
1,12,16,0,0,0,0,14.1,0,0
1,12,17,0,0,0,0,14.1,0,0
1,12,18,0,0,0,0,14.1,0,0
1,12,19,0,0,0,0,14.1,0,0
1,12,20,0,0,0,0,14.1,0,0
1,12,21,0,0,0,0,14.1,0,0
1,12,22,0,0,0,0,14.1,0,0
1,12,23,0,0,0,0,14.1,0,0
1,12,24,0,0,0,0,14.1,0,0
1,13,1,0,0,0,0,14.1,0,0
1,13,2,0,0,0,0,14.1,0,0
1,13,3,0,0,0,0,14.1,0,0
1,13,4,0,0,0,0,14.1,0,0
1,13,5,0,0,0,0,14.1,0,0
1,13,6,0,0,0,0,14.1,0,0
1,13,7,0,0,0,0,14.1,0,0
1,13,8,0,0,0,0,14.1,0,0
1,13,9,0,0,0,0,14.1,0,0
1,13,10,0,0,0,0,14.1,0,0
1,13,11,0,0,0,0,14.1,0,0
1,13,12,0,0,0,0,14.1,0,0
1,13,13,0,0,0,0,14.1,0,0
1,13,14,0,0,0,0,14.1,0,0
1,13,15,0,0,0,0,14.1,0,0
1,13,16,0,0,0,0,14.1,0,0
1,13,17,0,0,0,0,14.1,0,0
1,13,18,0,0,0,0,14.1,0,0
1,13,19,0,0,0,0,14.1,0,0
1,13,20,0,0,0,0,14.1,0,0
1,13,21,0,0,0,0,14.1,0,0
1,13,22,0,0,0,0,14.1,0,0
1,13,23,0,0,0,0,14.1,0,0
1,13,24,0,0,0,0,14.1,0,0
1,14,1,0,0,0,0,14.1,0,0
1,14,2,0,0,0,0,14.1,0,0
1,14,3,0,0,0,0,14.1,0,0
1,14,4,0,0,0,0,14.1,0,0
1,14,5,0,0,0,0,14.1,0,0
1,14,6,0,0,0,0,14.1,0,0
1,14,7,0,0,0,0,14.1,0,0
1,14,8,0,0,0,0,14.1,0,0
1,14,9,0,0,0,0,14.1,0,0
1,14,10,0,0,0,0,14.1,0,0
1,14,11,0,0,0,0,14.1,0,0
1,14,12,0,0,0,0,14.1,0,0
1,14,13,0,0,0,0,14.1,0,0
1,14,14,0,0,0,0,14.1,0,0
1,14,15,0,0,0,0,14.1,0,0
1,14,16,0,0,0,0,14.1,0,0
1,14,17,0,0,0,0,14.1,0,0
1,14,18,0,0,0,0,14.1,0,0
1,14,19,0,0,0,0,14.1,0,0
1,14,20,0,0,0,0,14.1,0,0
1,14,21,0,0,0,0,14.1,0,0
1,14,22,0,0,0,0,14.1,0,0
1,14,23,0,0,0,0,14.1,0,0
1,14,24,0,0,0,0,14.1,0,0
1,15,1,0,0,0,0,14.1,0,0
1,15,2,0,0,0,0,14.1,0,0
1,15,3,0,0,0,0,14.1,0,0
1,15,4,0,0,0,0,14.1,0,0
1,15,5,0,0,0,0,14.1,0,0
1,15,6,0,0,0,0,14.1,0,0
1,15,7,0,0,0,0,14.1,0,0
1,15,8,0,0,0,0,14.1,0,0
1,15,9,0,0,0,0,14.1,0,0
1,15,10,0,0,0,0,14.1,0,0
1,15,11,0,0,0,0,14.1,0,0
1,15,12,0,0,0,0,14.1,0,0
1,15,13,0,0,0,0,14.1,0,0
1,15,14,0,0,0,0,14.1,0,0
1,15,15,0,0,0,0,14.1,0,0
1,15,16,0,0,0,0,14.1,0,0
1,15,17,0,0,0,0,14.1,0,0
1,15,18,0,0,0,0,14.1,0,0
1,15,19,0,0,0,0,14.1,0,0
1,15,20,0,0,0,0,14.1,0,0
1,15,21,0,0,0,0,14.1,0,0
1,15,22,0,0,0,0,14.1,0,0
1,15,23,0,0,0,0,14.1,0,0
1,15,24,0,0,0,0,14.1,0,0
1,16,1,0,0,0,0,14.1,0,0
1,16,2,0,0,0,0,14.1,0,0
1,16,3,0,0,0,0,14.1,0,0
1,16,4,0,0,0,0,14.1,0,0
1,16,5,0,0,0,0,14.1,0,0
1,16,6,0,0,0,0,14.1,0,0
1,16,7,0,0,0,0,14.1,0,0
1,16,8,0,0,0,0,14.1,0,0
1,16,9,0,0,0,0,14.1,0,0
1,16,10,0,0,0,0,14.1,0,0
1,16,11,0,0,0,0,14.1,0,0
1,16,12,0,0,0,0,14.1,0,0
1,16,13,0,0,0,0,14.1,0,0
1,16,14,0,0,0,0,14.1,0,0
1,16,15,0,0,0,0,14.1,0,0
1,16,16,0,0,0,0,14.1,0,0
1,16,17,0,0,0,0,14.1,0,0
1,16,18,0,0,0,0,14.1,0,0
1,16,19,0,0,0,0,14.1,0,0
1,16,20,0,0,0,0,14.1,0,0
1,16,21,0,0,0,0,14.1,0,0
1,16,22,0,0,0,0,14.1,0,0
1,16,23,0,0,0,0,14.1,0,0
1,16,24,0,0,0,0,14.1,0,0
1,17,1,0,0,0,0,14.1,0,0
1,17,2,0,0,0,0,14.1,0,0
1,17,3,0,0,0,0,14.1,0,0
1,17,4,0,0,0,0,14.1,0,0
1,17,5,0,0,0,0,14.1,0,0
1,17,6,0,0,0,0,14.1,0,0
1,17,7,0,0,0,0,14.1,0,0
1,17,8,0,0,0,0,14.1,0,0
1,17,9,0,0,0,0,14.1,0,0
1,17,10,0,0,0,0,14.1,0,0
1,17,11,0,0,0,0,14.1,0,0
1,17,12,0,0,0,0,14.1,0,0
